review_text,score
character simply feel home short punchy laboured self form free weight expectation accompany retail release genre experience lack set piece spectacle spookiness original forced comfortably pitch,5
glorify song pack fun party game go find revel brilliant silliness guarantee party start,8
majora mask 3d powerful thorough remastering play zelda franchise corner termina revamp unusual sense thoughtfulness love fan finally wait worth,9
rabbid alive kicking capture boundless energy kooky personality make endearing look want real kick rabbid,8
feel like clever person planet able bring part day slaughter frog birth seventy pikmin break sweat enormously fun,7
slow pace cause hardcore fan series issue allow completely home control scheme finally able pull technically impressive play make accessible madden,6
alan wake american nightmare show tell alan wake character good glimpse come future hope go night spring episode xbla,7
driver escape near death captivating colourful return system cinematic quality build surprise juggernaut apr 2006 p.84,8
jerky framerate particular unforgivable tweak game engine account extra grunt gamecube midway acknowledge huge mistake,3
long stand tde fan literally overjoyed delve fantastical world aventuria well course usual parade odd end criticize like miss character customization barely affect myriad way fun title tde drakensang doubt great rpg german origin gothic 3 watch issue#15,9
